Match count,First,Second,Third,Fourth,Negative,Win Rate,Tsumo Rate,Deal-In Rate,Call Rate,Riichi Rate,Rank,Points,P. Change,R. Ron,R. Tsumo,D. Ron,D. Tsumo
142,0.2535,0.2324,0.2746,0.2394,0.845,0.2174,0.2645,0.1795,0.4453,0.1795,A2,366,70,0,4,3,2
143,0.2587,0.2308,0.2727,0.2378,0.839,0.2184,0.2652,0.18,0.4452,0.1793,A2,445,79,2,0,2,1
144,0.2569,0.2292,0.2708,0.2431,0.903,0.2181,0.2675,0.1799,0.4451,0.1785,A2,365,-80,1,3,0,1
145,0.2552,0.2276,0.269,0.2483,0.897,0.2174,0.2698,0.1801,0.4465,0.1774,A2,294,-71,2,4,0,1
146,0.2543,0.226,0.274,0.2466,0.89,0.2176,0.2665,0.1794,0.4454,0.1774,A2,285,-9,2,4,4,0
147,0.2517,0.2245,0.2721,0.2517,0.884,0.216,0.2656,0.1793,0.4465,0.1779,A2,222,-63,2,2,1,0
148,0.2568,0.223,0.2703,0.25,0.878,0.2183,0.2677,0.178,0.4459,0.1793,A2,305,83,0,2,3,2
149,0.255,0.2215,0.2685,0.255,0.94,0.2171,0.2677,0.179,0.4449,0.1784,A2,224,-81,3,1,0,0
150,0.2533,0.22,0.2733,0.2533,0.933,0.2175,0.2713,0.1804,0.4456,0.179,A2,218,-6,4,1,1,2
151,0.2517,0.2158,0.2781,0.2517,0.927,0.2175,0.2697,0.18,0.445,0.1786,A2,208,-10,1,1,2,0
152,0.25,0.2171,0.2763,0.2566,0.987,0.2176,0.2681,0.1815,0.445,0.1782,A2,123,-85,4,1,2,0
153,0.2549,0.2157,0.2745,0.2549,0.98,0.2184,0.2716,0.1819,0.4446,0.1786,A2,192,69,2,1,1,2
154,0.2532,0.2143,0.2727,0.2597,0.974,0.217,0.2716,0.1826,0.4437,0.1788,A2,116,-76,3,2,0,0
155,0.2516,0.2129,0.271,0.2645,0.1032,0.2159,0.2716,0.1836,0.4414,0.1785,A2,36,-80,3,1,0,0
156,0.25,0.2115,0.2692,0.2692,0.1026,0.215,0.2708,0.1836,0.4402,0.1791,A1,300,-61,2,1,1,0
157,0.2548,0.2102,0.2675,0.2675,0.1019,0.2155,0.2714,0.1825,0.4406,0.1799,A1,382,82,0,0,2,1
158,0.2595,0.2089,0.2658,0.2658,0.1013,0.2158,0.2749,0.1811,0.4404,0.1798,A1,451,69,0,2,1,2
159,0.2642,0.2075,0.2642,0.2642,0.1005,0.2161,0.2733,0.1809,0.4416,0.1796,A1,524,73,1,0,2,0
160,0.2625,0.2063,0.2688,0.2625,0.1,0.217,0.273,0.1808,0.442,0.1808,A1,514,-10,2,2,2,1
161,0.2609,0.205,0.2733,0.2609,0.994,0.2168,0.273,0.1807,0.4417,0.1807,A1,509,-5,0,0,0,0
62,0.2654,0.2037,0.2716,0.2593,0.988,0.2186,0.2748,0.1796,0.4427,0.1814,A1,591,82,0,0,3,2
163,0.2638,0.2068,0.2699,0.2577,0.982,0.2187,0.2732,0.1793,0.4436,0.1811,A2,400,9,1,2,2,0
164,0.2622,0.2134,0.2683,0.2561,0.976,0.2199,0.275,0.1796,0.4441,0.182,A2,425,25,3,2,3,2
165,0.2667,0.2121,0.2667,0.2545,0.97,0.2205,0.2747,0.1787,0.4428,0.1811,A2,488,63,1,2,3,1
166,0.2711,0.2108,0.2651,0.253,0.964,0.1105,0.176,0.1777,0.444,0.1801,A2,557,69,0,1,1,1
